targetx,targety,targetz,,collx,colly,collz,,targetxrel,targetyrel,targetzrel,,collxrel,collyrel,collzrel,,
-0.7894173,-0.03015381,-2.775314,,-0.7816346,-0.02150822,-2.778511,,0.0105827,-0.03015381,0.124686,,0.0183654,-0.02150822,0.121489,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.8900833,-0.007596254,-2.754667,,-0.8848116,-0.02032399,-2.752784,,-0.0900833,-0.007596254,0.145333,,-0.0848116,-0.02032399,0.147216,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6635063,-0.007596254,-2.860416,,-0.6776727,-0.00369668,-2.860098,,0.1364937,-0.007596254,0.039584,,0.1223273,-0.00369668,0.039902,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7079068,-0.03015381,-2.928903,,-0.7184323,-0.02252841,-2.920172,,0.0920932,-0.03015381,-0.028903,,0.0815677,-0.02252841,-0.020172,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.5914422,-0.03015381,-2.788999,,-0.6026766,-0.02028847,-2.778973,,0.2085578,-0.03015381,0.111001,,0.1973234,-0.02028847,0.121027,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.8865747,-0.03015381,-2.750257,,-0.8739082,-0.02566075,-2.749195,,-0.0865747,-0.03015381,0.149743,,-0.0739082,-0.02566075,0.150805,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6670927,-0.03015381,-3.002835,,-0.6755816,-0.02409458,-2.98636,,0.1329073,-0.03015381,-0.102835,,0.1244184,-0.02409458,-0.08636,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.8687935,-0.007596254,-2.730339,,-0.8559842,-0.01099086,-2.731755,,-0.0687935,-0.007596254,0.169661,,-0.0559842,-0.01099086,0.168245,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.6706822,-0.007596254,-2.888762,,-0.6819969,-0.000159025,-2.876019,,0.1293178,-0.007596254,0.011238,,0.1180031,-0.000159025,0.023981,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.754544,-0.03015381,-2.766821,,-0.7605617,-0.04197025,-2.75984,,0.045456,-0.03015381,0.133179,,0.0394383,-0.04197025,0.14016,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.5856146,-0.007596254,-2.806507,,-0.588738,-0.01872182,-2.806179,,0.2143854,-0.007596254,0.093493,,0.211262,-0.01872182,0.093821,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.8305019,-0.03015381,-2.821211,,-0.816902,-0.0267446,-2.821542,,-0.0305019,-0.03015381,0.078789,,-0.016902,-0.0267446,0.078458,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.74105,-0.007596254,-2.683028,,-0.7292674,-0.01021767,-2.692163,,0.05895,-0.007596254,0.216972,,0.0707326,-0.01021767,0.207837,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6788778,-0.03015381,-2.804079,,-0.6921114,-0.02575302,-2.803588,,0.1211222,-0.03015381,0.095921,,0.1078886,-0.02575302,0.096412,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.8883501,-0.03015381,-2.954482,,-0.874665,-0.03080034,-2.948655,,-0.0883501,-0.03015381,-0.054482,,-0.074665,-0.03080034,-0.048655,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.6859385,-0.007596254,-3.012595,,-0.6938579,-0.0185411,-2.999205,,0.1140615,-0.007596254,-0.112595,,0.1061421,-0.0185411,-0.099205,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.828037,-0.03015381,-2.892189,,-0.8188674,-0.02310109,-2.880055,,-0.028037,-0.03015381,0.007811,,-0.0188674,-0.02310109,0.019945,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.7826303,-0.007596254,-2.686329,,-0.7851604,-0.02076054,-2.690648,,0.0173697,-0.007596254,0.213671,,0.0148396,-0.02076054,0.209352,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.7319483,-0.03015381,-2.939198,,-0.7331579,-0.02432537,-2.918491,,0.0680517,-0.03015381,-0.039198,,0.0668421,-0.02432537,-0.018491,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.714445,-0.03015381,-2.687075,,-0.7077645,-0.02321649,-2.676431,,0.085555,-0.03015381,0.212925,,0.0922355,-0.02321649,0.223569,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.9049878,-0.03015381,-2.926698,,-0.9067221,-0.01975012,-2.92508,,-0.1049878,-0.03015381,-0.026698,,-0.1067221,-0.01975012,-0.02508,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.6887155,-0.007596254,-2.694849,,-0.6893101,-0.02608037,-2.695959,,0.1112845,-0.007596254,0.205151,,0.1106899,-0.02608037,0.204041,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6854771,-0.03015381,-2.796483,,-0.691152,-0.01978397,-2.780301,,0.1145229,-0.03015381,0.103517,,0.108848,-0.01978397,0.119699,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.5937745,-0.007596254,-2.924208,,-0.6043315,-0.01722217,-2.920417,,0.2062255,-0.007596254,-0.024208,,0.1956685,-0.01722217,-0.020417,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7484847,-0.007596254,-2.941542,,-0.7529115,-0.01602721,-2.920937,,0.0515153,-0.007596254,-0.041542,,0.0470885,-0.01602721,-0.020937,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.8367051,-0.007596254,-2.85026,,-0.8239267,-0.004845142,-2.840189,,-0.0367051,-0.007596254,0.04974,,-0.0239267,-0.004845142,0.059811,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7217329,-0.03015381,-2.772784,,-0.7310083,-0.02635098,-2.774568,,0.0782671,-0.03015381,0.127216,,0.0689917,-0.02635098,0.125432,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8666286,-0.01703721,-2.980015,,-0.8689656,-0.01257777,-2.980032,,-0.0666286,-0.01703721,-0.080015,,-0.0689656,-0.01257777,-0.080032,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.6327152,-0.01703721,-2.909726,,-0.6454917,-0.01768565,-2.897182,,0.1672848,-0.01703721,-0.009726,,0.1545083,-0.01768565,0.002818,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.6584936,-0.01703721,-2.763597,,-0.6638139,-0.008836985,-2.747396,,0.1415064,-0.01703721,0.136403,,0.1361861,-0.008836985,0.152604,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6523334,-0.007596254,-2.770276,,-0.6698873,-0.01017213,-2.756525,,0.1476666,-0.007596254,0.129724,,0.1301127,-0.01017213,0.143475,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8069617,-0.007596254,-2.789728,,-0.8053901,-0.005371094,-2.767459,,-0.0069617,-0.007596254,0.110272,,-0.0053901,-0.005371094,0.132541,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.8046402,-0.03015381,-2.922805,,-0.8041604,-0.01722169,-2.919261,,-0.0046402,-0.03015381,-0.022805,,-0.0041604,-0.01722169,-0.019261,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6697156,-0.007596254,-2.704431,,-0.681366,-0.0225904,-2.697245,,0.1302844,-0.007596254,0.195569,,0.118634,-0.0225904,0.202755,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7768301,-0.01703721,-2.938075,,-0.7736897,-0.01000881,-2.918587,,0.0231699,-0.01703721,-0.038075,,0.0263103,-0.01000881,-0.018587,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.7522585,-0.007596254,-2.98496,,-0.7670865,-0.006693363,-2.973958,,0.0477415,-0.007596254,-0.08496,,0.0329135,-0.006693363,-0.073958,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.8228168,-0.03015381,-2.808364,,-0.823274,-0.03268743,-2.782861,,-0.0228168,-0.03015381,0.091636,,-0.023274,-0.03268743,0.117139,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.5856146,-0.01703721,-2.902905,,-0.5829241,-0.02619195,-2.889464,,0.2143854,-0.01703721,-0.002905,,0.2170759,-0.02619195,0.010536,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8505701,-0.01703721,-2.774405,,-0.8407066,-0.01198363,-2.76988,,-0.0505701,-0.01703721,0.125595,,-0.0407066,-0.01198363,0.13012,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.6617429,-0.03015381,-2.761278,,-0.6663913,-0.0231142,-2.758188,,0.1382571,-0.03015381,0.138722,,0.1336087,-0.0231142,0.141812,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.7115311,-0.01703721,-3.022638,,-0.7093374,-0.01761985,-2.997844,,0.0884689,-0.01703721,-0.122638,,0.0906626,-0.01761985,-0.097844,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6276409,-0.01703721,-2.813953,,-0.6225913,-0.01638055,-2.8049,,0.1723591,-0.01703721,0.086047,,0.1774087,-0.01638055,0.0951,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.8609256,-0.03015381,-2.92281,,-0.8571132,-0.02814388,-2.893199,,-0.0609256,-0.03015381,-0.02281,,-0.0571132,-0.02814388,0.006801,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.5802646,-0.01703721,-2.877079,,-0.5996481,-0.02228618,-2.869589,,0.2197354,-0.01703721,0.022921,,0.2003519,-0.02228618,0.030411,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.8784449,-0.007596254,-2.872083,,-0.867608,-0.01286507,-2.847016,,-0.0784449,-0.007596254,0.027917,,-0.067608,-0.01286507,0.052984,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7811149,-0.007596254,-2.937441,,-0.779601,-0.01120543,-2.923353,,0.0188851,-0.007596254,-0.037441,,0.020399,-0.01120543,-0.023353,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6797578,-0.01703721,-2.90749,,-0.6820407,-0.03207254,-2.895897,,0.1202422,-0.01703721,-0.00749,,0.1179593,-0.03207254,0.004103,,MediumOverlap(Clone) (UnityEngine.GameObject)
-0.6269242,-0.007596254,-2.896527,,-0.6408569,-0.01836777,-2.880392,,0.1730758,-0.007596254,0.003473,,0.1591431,-0.01836777,0.019608,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7947177,-0.01703721,-2.782185,,-0.7952263,-0.01025367,-2.775926,,0.0052823,-0.01703721,0.117815,,0.0047737,-0.01025367,0.124074,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.8793307,-0.007596254,-2.861199,,-0.8668276,-0.01472402,-2.841492,,-0.0793307,-0.007596254,0.038801,,-0.0668276,-0.01472402,0.058508,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.7985514,-0.007596254,-2.928734,,-0.8088533,-0.01083016,-2.905908,,0.0014486,-0.007596254,-0.028734,,-0.0088533,-0.01083016,-0.005908,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.7620836,-0.01703721,-2.770844,,-0.7590075,-0.01426101,-2.762543,,0.0379164,-0.01703721,0.129156,,0.0409925,-0.01426101,0.137457,,SmallOverlap(Clone) (UnityEngine.GameObject)
-0.8770319,-0.01703721,-2.832201,,-0.8725526,-0.02859831,-2.8285,,-0.0770319,-0.01703721,0.067799,,-0.0725526,-0.02859831,0.0715,,LargeOverlap(Clone) (UnityEngine.GameObject)
-0.8505701,-0.007596254,-2.775527,,-0.843608,-0.0254004,-2.769901,,-0.0505701,-0.007596254,0.124473,,-0.043608,-0.0254004,0.130099,,MediumOverlap(Clone) (UnityEngine.GameObject)
