Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,,Overlap Type,,,,,reltarx,reltary,reltarz,relpenx,relpeny,relpenz,relcollx,relxolly,relxollz,,,,,,,,,,,,,,
18,,-0.7530301,-0.007596254,-2.764778,-0.768021,-0.007596254,-2.765302,-0.7478496,-0.0135591,-2.769884,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0030301,-0.007596254,0.085222,-0.018021,-0.007596254,0.084698,0.0021504,-0.0135591,0.080116,,0.085613514,,,,,,,,,,,,
62,,-0.6755772,-0.01703721,-2.811,-0.6669933,-0.01703721,-2.825286,-0.6885023,-0.0136838,-2.803108,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,0.0744228,-0.01703721,0.039,0.0830067,-0.01703721,0.024714,0.0614977,-0.0136838,0.046892,,0.085732256,,,,,,,,,,,,
100,,-0.668412,-0.01703721,-2.82958,-0.6746824,-0.01703721,-2.812352,-0.6827829,-0.01359272,-2.814667,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,0.081588,-0.01703721,0.02042,0.0753176,-0.01703721,0.037648,0.0672171,-0.01359272,0.035333,,0.085812847,,,,,,,,,,,,
72,,-0.7275283,-0.03015381,-2.772819,-0.7452369,-0.03015381,-2.768074,-0.7300888,-0.01338911,-2.757988,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,0.0224717,-0.03015381,0.077181,0.0047631,-0.03015381,0.081926,0.0199112,-0.01338911,0.092012,,0.085855322,,,,,,,,,,,,
70,,-0.7133065,-0.03015381,-2.777802,-0.6966909,-0.03015381,-2.78555,-0.7106017,-0.02955246,-2.752272,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,0.0366935,-0.03015381,0.072198,0.0533091,-0.03015381,0.06445,0.0393983,-0.02955246,0.097728,,0.086418843,,,,,,,,,,,,
139,,-0.8251919,-0.03015381,-2.819599,-0.8160252,-0.03015381,-2.803722,-0.813562,-0.02062559,-2.796093,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0751919,-0.03015381,0.030401,-0.0660252,-0.03015381,0.046278,-0.063562,-0.02062559,0.053907,,0.086529156,,,,,,,,,,,,
157,,-0.6650732,-0.01703721,-2.846684,-0.661608,-0.01703721,-2.862986,-0.6783835,-0.005176544,-2.818581,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,0.0849268,-0.01703721,0.003316,0.088392,-0.01703721,-0.012986,0.0716165,-0.005176544,0.031419,,0.086682315,,,,,,,,,,,,
19,,-0.8330303,-0.007596254,-2.826252,-0.8374159,-0.007596254,-2.840596,-0.8410711,-0.01590443,-2.815497,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0830303,-0.007596254,0.023748,-0.0874159,-0.007596254,0.009404,-0.0910711,-0.01590443,0.034503,,0.086693144,,,,,,,,,,,,
10,,-0.8228168,-0.007596254,-2.803557,-0.8137395,-0.007596254,-2.789579,-0.8246014,-0.01661873,-2.80456,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0728168,-0.007596254,0.046443,-0.0637395,-0.007596254,0.060421,-0.0746014,-0.01661873,0.04544,,0.086700298,,,,,,,,,,,,
141,,-0.8363485,-0.007596254,-2.854151,-0.8344321,-0.007596254,-2.835918,-0.8265876,-0.01393223,-2.828704,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,-0.0863485,-0.007596254,-0.004151,-0.0844321,-0.007596254,0.014082,-0.0765876,-0.01393223,0.021296,,0.086781319,,,,,,,,,,,,
