Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,,reltarx,reltary,reltarz,relpenx,relpeny,relpenz,relcollx,relcolly,relcollz,,targetradius,,,,,,,,,,,,,,,,,
17,,-0.7826303,-0.007596254,-2.686329,-0.7679058,-0.007596254,-2.683467,-0.7851604,-0.02076054,-2.690648,LargeOverlap(Clone) (UnityEngine.GameObject),-0.0326303,-0.007596254,0.163671,-0.0179058,-0.007596254,0.166533,-0.0351604,-0.02076054,0.159352,,0.172797919,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
18,,-0.7319483,-0.03015381,-2.939198,-0.717276,-0.03015381,-2.936079,-0.7331579,-0.02432537,-2.918491,LargeOverlap(Clone) (UnityEngine.GameObject),0.0180517,-0.03015381,-0.089198,0.032724,-0.03015381,-0.086079,0.0168421,-0.02432537,-0.068491,,0.174338872,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
19,,-0.9049878,-0.03015381,-2.926698,-0.911327,-0.03015381,-2.913104,-0.9067221,-0.01975012,-2.92508,LargeOverlap(Clone) (UnityEngine.GameObject),-0.1549878,-0.03015381,-0.076698,-0.161327,-0.03015381,-0.063104,-0.1567221,-0.01975012,-0.07508,,0.170152784,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
20,,-0.7484847,-0.007596254,-2.941542,-0.733487,-0.007596254,-2.94128,-0.7529115,-0.01602721,-2.920937,LargeOverlap(Clone) (UnityEngine.GameObject),0.0015153,-0.007596254,-0.091542,0.016513,-0.007596254,-0.09128,-0.0029115,-0.01602721,-0.070937,,0.129210372,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
21,,-0.8666286,-0.01703721,-2.980015,-0.8775989,-0.01703721,-2.969784,-0.8689656,-0.01257777,-2.980032,LargeOverlap(Clone) (UnityEngine.GameObject),-0.1166286,-0.01703721,-0.130015,-0.1275989,-0.01703721,-0.119784,-0.1189656,-0.01257777,-0.130032,,0.129282493,,,,,,,,,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject),
22,,-0.6327152,-0.01703721,-2.909726,-0.6390544,-0.01703721,-2.923321,-0.6454917,-0.01768565,-2.897182,LargeOverlap(Clone) (UnityEngine.GameObject),0.1172848,-0.01703721,-0.059726,0.1109456,-0.01703721,-0.073321,0.1045083,-0.01768565,-0.047182,,0.08720909,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
23,,-0.7768301,-0.01703721,-2.938075,-0.791096,-0.01703721,-2.93344,-0.7736897,-0.01000881,-2.918587,LargeOverlap(Clone) (UnityEngine.GameObject),-0.0268301,-0.01703721,-0.088075,-0.041096,-0.01703721,-0.08344,-0.0236897,-0.01000881,-0.068587,,0.130148975,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
24,,-0.7522585,-0.007596254,-2.98496,-0.7372608,-0.007596254,-2.985222,-0.7670865,-0.006693363,-2.973958,LargeOverlap(Clone) (UnityEngine.GameObject),-0.0022585,-0.007596254,-0.13496,0.0127392,-0.007596254,-0.135222,-0.0170865,-0.006693363,-0.123958,,0.085856145,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
25,,-0.8505701,-0.01703721,-2.774405,-0.8411303,-0.01703721,-2.762748,-0.8407066,-0.01198363,-2.76988,LargeOverlap(Clone) (UnityEngine.GameObject),-0.1005701,-0.01703721,0.075595,-0.0911303,-0.01703721,0.087252,-0.0907066,-0.01198363,0.08012,,0.089363337,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
26,,-0.6617429,-0.03015381,-2.761278,-0.6727132,-0.03015381,-2.751048,-0.6663913,-0.0231142,-2.758188,LargeOverlap(Clone) (UnityEngine.GameObject),0.0882571,-0.03015381,0.088722,0.0772868,-0.03015381,0.098952,0.0836087,-0.0231142,0.091812,,0.090117126,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
27,,-0.6276409,-0.01703721,-2.813953,-0.6325244,-0.01703721,-2.79977,-0.6225913,-0.01638055,-2.8049,LargeOverlap(Clone) (UnityEngine.GameObject),0.1223591,-0.01703721,0.036047,0.1174756,-0.01703721,0.05023,0.1274087,-0.01638055,0.0451,,0.170308842,,,,,,,,,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject),
28,,-0.7947177,-0.01703721,-2.782185,-0.8075752,-0.01703721,-2.78991,-0.7952263,-0.01025367,-2.775926,LargeOverlap(Clone) (UnityEngine.GameObject),-0.0447177,-0.01703721,0.067815,-0.0575752,-0.01703721,0.06009,-0.0452263,-0.01025367,0.074074,,0.127832788,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
29,,-0.7985514,-0.007596254,-2.928734,-0.7861159,-0.007596254,-2.937122,-0.8088533,-0.01083016,-2.905908,LargeOverlap(Clone) (UnityEngine.GameObject),-0.0485514,-0.007596254,-0.078734,-0.0361159,-0.007596254,-0.087122,-0.0588533,-0.01083016,-0.055908,,0.087853536,,,,,,,,,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject),
30,,-0.8770319,-0.01703721,-2.832201,-0.8741698,-0.01703721,-2.817477,-0.8725526,-0.02859831,-2.8285,LargeOverlap(Clone) (UnityEngine.GameObject),-0.1270319,-0.01703721,0.017799,-0.1241698,-0.01703721,0.032523,-0.1225526,-0.02859831,0.0215,,0.08967148,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
31,,-0.726068,-0.03015381,-2.940507,-0.7116491,-0.03015381,-2.936373,-0.7349063,-0.0230782,-2.937773,LargeOverlap(Clone) (UnityEngine.GameObject),0.023932,-0.03015381,-0.090507,0.0383509,-0.03015381,-0.086373,0.0150937,-0.0230782,-0.087773,,0.169615491,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
32,,-0.785555,-0.007596254,-3.025554,-0.7708828,-0.007596254,-3.028673,-0.7828457,-0.01963735,-3.003025,LargeOverlap(Clone) (UnityEngine.GameObject),-0.035555,-0.007596254,-0.175554,-0.0208828,-0.007596254,-0.178673,-0.0328457,-0.01963735,-0.153025,,0.087449164,,,,,,,,,,,,,,,,LargeOverlap(Clone) (UnityEngine.GameObject),
33,,-0.6632288,-0.01703721,-2.855393,-0.6637523,-0.01703721,-2.840402,-0.6770722,-0.01494908,-2.844243,LargeOverlap(Clone) (UnityEngine.GameObject),0.0867712,-0.01703721,-0.005393,0.0862477,-0.01703721,0.009598,0.0729278,-0.01494908,0.005757,,0.094375702,,,,,,,,,,,,,,,,MediumOverlap(Clone) (UnityEngine.GameObject),
34,,-0.7665668,-0.01703721,-2.773545,-0.7812912,-0.01703721,-2.776407,-0.7657657,-0.02463055,-2.775042,LargeOverlap(Clone) (UnityEngine.GameObject),-0.0165668,-0.01703721,0.076455,-0.0312912,-0.01703721,0.073593,-0.0157657,-0.02463055,0.074958,,0.172542604,,,,,,,,,,,,,,,,SmallOverlap(Clone) (UnityEngine.GameObject),
