Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,,Overlap Type,,,,,,Targetx,Targety,Targetz,Penaltyx,Penltyy,Penaltyz,Collisionx,Collisiony,Collisionz,,TargetRadius
13,,-0.6726391,-0.03015381,-2.812161,-0.6809623,-0.03015381,-2.795826,-0.6675937,-0.04104543,-2.814327,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0773609,-0.03015381,0.037839,0.0690377,-0.03015381,0.054174,0.0824063,-0.04104543,0.035673,,0.091245553
52,,-0.7575672,-0.007596254,-2.940867,-0.7758308,-0.007596254,-2.93927,-0.753785,-0.01868486,-2.930066,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0075672,-0.007596254,-0.090867,-0.0258308,-0.007596254,-0.08927,-0.003785,-0.01868486,-0.080066,,0.091497417
85,,-0.6865008,-0.007596254,-2.915935,-0.6739975,-0.007596254,-2.902526,-0.6778897,0.01472545,-2.922262,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0634992,-0.007596254,-0.065935,0.0760025,-0.007596254,-0.052526,0.0721103,0.01472545,-0.072262,,0.091854644
76,,-0.7379164,-0.007596254,-2.942057,-0.7560713,-0.007596254,-2.944608,-0.7413116,-0.005619764,-2.931924,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0120836,-0.007596254,-0.092057,-0.0060713,-0.007596254,-0.094608,0.0086884,-0.005619764,-0.081924,,0.093156898
170,,-0.8367712,-0.03015381,-2.866004,-0.8361315,-0.03015381,-2.884326,-0.8356498,-0.02855968,-2.865166,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0867712,-0.03015381,-0.016004,-0.0861315,-0.03015381,-0.034326,-0.0856498,-0.02855968,-0.015166,,0.093244954
21,,-0.6977479,-0.03015381,-2.921514,-0.7123896,-0.03015381,-2.932547,-0.6894369,-0.02910256,-2.921881,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0522521,-0.03015381,-0.071514,0.0376104,-0.03015381,-0.082547,0.0605631,-0.02910256,-0.071881,,0.093561672
91,,-0.6989661,-0.01703721,-2.927399,-0.713798,-0.01703721,-2.938175,-0.6948191,-0.02387667,-2.923848,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0510339,-0.01703721,-0.077399,0.036202,-0.01703721,-0.088175,0.0551809,-0.02387667,-0.073848,,0.094262032
139,,-0.8022521,-0.01703721,-2.791402,-0.8155627,-0.01703721,-2.801432,-0.8016399,-0.03058076,-2.770019,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0522521,-0.01703721,0.058598,-0.0655627,-0.01703721,0.048568,-0.0516399,-0.03058076,0.079981,,0.080338497
67,,-0.745456,-0.007596254,-2.768739,-0.7620998,-0.007596254,-2.767867,-0.7421197,-0.01965046,-2.750323,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.004544,-0.007596254,0.081261,-0.0120998,-0.007596254,0.082133,0.0078803,-0.01965046,0.099677,,0.081741673
53,,-0.6896869,-0.01703721,-2.791986,-0.6776979,-0.01703721,-2.803564,-0.6915816,-0.02001333,-2.778463,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0603131,-0.01703721,0.058014,0.0723021,-0.01703721,0.046436,0.0584184,-0.02001333,0.071537,,0.085402346
89,,-0.7825249,-0.03015381,-2.776501,-0.7670718,-0.03015381,-2.770258,-0.7915071,0.001323462,-2.724875,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0325249,-0.03015381,0.073499,-0.0170718,-0.03015381,0.079742,-0.0415071,0.001323462,0.125125,,0.085844187
45,,-0.6713107,-0.01703721,-2.817187,-0.6783543,-0.01703721,-2.802082,-0.6650698,-0.01087165,-2.809877,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0786893,-0.01703721,0.032813,0.0716457,-0.01703721,0.047918,0.0849302,-0.01087165,0.040123,,0.086942311
96,,-0.8103131,-0.03015381,-2.795066,-0.8223021,-0.03015381,-2.806643,-0.8166082,-0.03843832,-2.77752,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0603131,-0.03015381,0.054934,-0.0723021,-0.03015381,0.043357,-0.0666082,-0.03843832,0.07248,,0.086975092
69,,-0.8338656,-0.01703721,-2.833113,-0.829552,-0.01703721,-2.817015,-0.8380004,-0.02487969,-2.828758,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0838656,-0.01703721,0.016887,-0.079552,-0.01703721,0.032985,-0.0880004,-0.02487969,0.021242,,0.087228872
60,,-0.7575672,-0.03015381,-2.768449,-0.7741705,-0.03015381,-2.769902,-0.7502445,-0.04262996,-2.75925,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0075672,-0.03015381,0.081551,-0.0241705,-0.03015381,0.080098,-0.0002445,-0.04262996,0.09075,,0.087275887
59,,-0.6632288,-0.007596254,-2.857902,-0.6626471,-0.007596254,-2.841246,-0.6566395,-0.003964186,-2.854525,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0867712,-0.007596254,-0.007902,0.0873529,-0.007596254,0.008754,0.0933605,-0.003964186,-0.004525,,0.087460767
118,,-0.8368241,-0.01703721,-2.859195,-0.8368241,-0.01703721,-2.842529,-0.8258659,-0.01609182,-2.850604,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0868241,-0.01703721,-0.009195,-0.0868241,-0.01703721,0.007471,-0.0758659,-0.01609182,-0.000604,,0.088956388
2,,-0.8305019,-0.03015381,-2.818223,-0.8367454,-0.03015381,-2.833676,-0.8230253,-0.03831077,-2.808848,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0805019,-0.03015381,0.031777,-0.0867454,-0.03015381,0.016324,-0.0730253,-0.03831077,0.041152,,0.091649255
9,,-0.7469699,-0.03015381,-2.938058,-0.7303134,-0.03015381,-2.937476,-0.75689,-0.037606,-2.928476,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0030301,-0.03015381,-0.088058,0.0196866,-0.03015381,-0.087476,-0.00689,-0.037606,-0.078476,,0.093127038
86,,-0.7203044,-0.007596254,-2.938383,-0.7046429,-0.007596254,-2.932683,-0.7284127,0.01396465,-2.928519,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0296956,-0.007596254,-0.088383,0.0453571,-0.007596254,-0.082683,0.0215873,0.01396465,-0.078519,,0.093547242
168,,-0.829922,-0.01703721,-2.89676,-0.8364342,-0.01703721,-2.881418,-0.8351723,-0.01891017,-2.860533,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.079922,-0.01703721,-0.04676,-0.0864342,-0.01703721,-0.031418,-0.0851723,-0.01891017,-0.010533,,0.09415036
134,,-0.7972878,-0.01703721,-2.933209,-0.78331,-0.01703721,-2.942286,-0.7909301,-0.03130174,-2.906593,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0472878,-0.01703721,-0.083209,-0.03331,-0.01703721,-0.092286,-0.0409301,-0.03130174,-0.056593,,0.097211832
