Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,,Overlap Type,,,,,,Targetx,Targety,Targetz,Penaltyx,Penltyy,Penaltyz,Collisionx,Collisiony,Collisionz,,TargetRadius
148,,-0.6654012,-0.01703721,-2.841406,-0.6695253,-0.01703721,-2.823542,-0.6651789,-0.02018833,-2.827483,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0845988,-0.01703721,0.008594,0.0804747,-0.01703721,0.026458,0.0848211,-0.02018833,0.022517,,0.086724162
5,,-0.8069617,-0.007596254,-2.784928,-0.7943832,-0.007596254,-2.773994,-0.8163324,-0.009094,-2.785231,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0569617,-0.007596254,0.065072,-0.0443832,-0.007596254,0.076006,-0.0663324,-0.009094,0.064769,,0.08681419
102,,-0.8367051,-0.007596254,-2.852797,-0.8374901,-0.007596254,-2.867776,-0.8359915,-0.02010322,-2.829147,,LargeOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0867051,-0.007596254,-0.002797,-0.0874901,-0.007596254,-0.017776,-0.0859915,-0.02010322,0.020853,,0.087082149
18,,-0.6755772,-0.01703721,-2.806643,-0.6669933,-0.01703721,-2.820929,-0.6560587,0.02414536,-2.764117,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0744228,-0.01703721,0.043357,0.0830067,-0.01703721,0.029071,0.0939413,0.02414536,0.085883,,0.087800052
16,,-0.668412,-0.01703721,-2.82153,-0.6621417,-0.01703721,-2.838758,-0.6571312,-0.02008128,-2.816132,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.081588,-0.01703721,0.02847,0.0878583,-0.01703721,0.011242,0.0928688,-0.02008128,0.033868,,0.088076156
55,,-0.726068,-0.03015381,-2.770506,-0.7436911,-0.03015381,-2.765453,-0.7217581,-0.03749967,-2.766804,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.023932,-0.03015381,0.079494,0.0063089,-0.03015381,0.084547,0.0282419,-0.03749967,0.083196,,0.088324905
33,,-0.6633874,-0.01703721,-2.846351,-0.6646663,-0.01703721,-2.828062,-0.6597568,-0.0233717,-2.839304,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0866126,-0.01703721,0.003649,0.0853337,-0.01703721,0.021938,0.0902432,-0.0233717,0.010696,,0.088347746
58,,-0.7866935,-0.03015381,-2.775491,-0.8033091,-0.03015381,-2.783239,-0.7820033,-0.03627419,-2.773299,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,-0.0366935,-0.03015381,0.074509,-0.0533091,-0.03015381,0.066761,-0.0320033,-0.03627419,0.076701,,0.08835868
32,,-0.6755772,-0.007596254,-2.897056,-0.6850196,-0.007596254,-2.91277,-0.6760335,-0.01039433,-2.883839,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0744228,-0.007596254,-0.047056,0.0649804,-0.007596254,-0.06277,0.0739665,-0.01039433,-0.033839,,0.088378297
83,,-0.6647711,-0.007596254,-2.872566,-0.6612729,-0.007596254,-2.854569,-0.6714457,-0.009160519,-2.869477,,SmallOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0852289,-0.007596254,-0.022566,0.0887271,-0.007596254,-0.004569,0.0785543,-0.009160519,-0.019477,,0.088492332
45,,-0.6834889,-0.007596254,-2.909056,-0.6727758,-0.007596254,-2.896288,-0.6875281,0.02357268,-2.892667,,MediumOverlap(Clone) (UnityEngine.GameObject),,,,,,0.0665111,-0.007596254,-0.059056,0.0772242,-0.007596254,-0.046288,0.0624719,0.02357268,-0.042667,,0.089269483
