Trial Number,,Target Position X,Target Position Y,Target Position Z,Penalty Position X,Penalty Position Y,Penalty Position Z,Collision Position X,Collision Position Y,Collision Position Z,Start Time,Overlap Type,Polar Angle,Elevation Angle,,,,,,,,,,,,
34,,-0.7304688,-0.01703721,-2.768507,-0.7483323,-0.01703721,-2.764383,-0.7271322,-0.00372982,-2.753534,17:03:20,SmallOverlap(Clone) (UnityEngine.GameObject),1.343904,1.308997,,0.0195312,-0.01703721,0.081493,0.0016677,-0.01703721,0.085617,0.0228678,-0.00372982,0.096466,,0.085515164
32,,-0.8259381,-0.007596254,-2.81088,-0.8348263,-0.007596254,-2.826915,-0.8142151,-0.007254124,-2.803234,17:03:14,SmallOverlap(Clone) (UnityEngine.GameObject),2.635447,1.396263,,-0.0759381,-0.007596254,0.03912,-0.0848263,-0.007596254,0.023085,-0.0642151,-0.007254124,0.046766,,0.085759387
110,,-0.6919034,-0.03015381,-2.794454,-0.6807562,-0.03015381,-2.804491,-0.6987038,-0.02935052,-2.764192,17:07:54,LargeOverlap(Clone) (UnityEngine.GameObject),0.8377581,1.22173,,0.0580966,-0.03015381,0.055546,0.0692438,-0.03015381,0.045509,0.0512962,-0.02935052,0.085808,,0.085847687
120,,-0.6865008,-0.03015381,-2.800488,-0.6751342,-0.03015381,-2.812677,-0.6762276,-0.02877688,-2.77544,17:08:27,MediumOverlap(Clone) (UnityEngine.GameObject),0.7504916,1.22173,,0.0634992,-0.03015381,0.049512,0.0748658,-0.03015381,0.037323,0.0737724,-0.02877688,0.07456,,0.085981619
162,,-0.676369,-0.03015381,-2.816764,-0.6843178,-0.03015381,-2.804043,-0.6624744,0.1124341,-2.74049,17:10:50,LargeOverlap(Clone) (UnityEngine.GameObject),0.5585054,1.22173,,0.073631,-0.03015381,0.033236,0.0656822,-0.03015381,0.045957,0.0875256,0.1124341,0.10951,,0.086228813
30,,-0.8330303,-0.007596254,-2.827456,-0.8281574,-0.007596254,-2.811517,-0.8220963,-0.00693512,-2.811157,17:03:07,MediumOverlap(Clone) (UnityEngine.GameObject),2.844887,1.396263,,-0.0830303,-0.007596254,0.022544,-0.0781574,-0.007596254,0.038483,-0.0720963,-0.00693512,0.038843,,0.086371093
39,,-0.6631759,-0.007596254,-2.85347,-0.6631759,-0.007596254,-2.86847,-0.6685737,-0.000137091,-2.850627,17:03:37,LargeOverlap(Clone) (UnityEngine.GameObject),0,1.396263,,0.0868241,-0.007596254,-0.00347,0.0868241,-0.007596254,-0.01847,0.0814263,-0.000137091,-0.000627,,0.087224815
8,,-0.6669697,-0.007596254,-2.876346,-0.6718426,-0.007596254,-2.892284,-0.6597803,-0.007582664,-2.875261,17:01:40,MediumOverlap(Clone) (UnityEngine.GameObject),5.986479,1.396263,,0.0830303,-0.007596254,-0.026346,0.0781574,-0.007596254,-0.042284,0.0902197,-0.007582664,-0.025261,,0.087440526
81,,-0.8352289,-0.01703721,-2.840282,-0.8384091,-0.01703721,-2.856642,-0.8240312,-0.02310252,-2.828043,17:06:14,MediumOverlap(Clone) (UnityEngine.GameObject),2.949606,1.308997,,-0.0852289,-0.01703721,0.009718,-0.0884091,-0.01703721,-0.006642,-0.0740312,-0.02310252,0.021957,,0.087456683
16,,-0.8211222,-0.01703721,-2.801807,-0.8106066,-0.01703721,-2.786789,-0.8206543,-0.006170511,-2.796714,17:02:10,SmallOverlap(Clone) (UnityEngine.GameObject),2.530727,1.308997,,-0.0711222,-0.01703721,0.048193,-0.0606066,-0.01703721,0.063211,-0.0706543,-0.006170511,0.053286,,0.087585382
5,,-0.7364177,-0.007596254,-2.936503,-0.7216024,-0.007596254,-2.934157,-0.7374161,-0.01413703,-2.934596,17:01:30,LargeOverlap(Clone) (UnityEngine.GameObject),4.869469,1.396263,,0.0135823,-0.007596254,-0.086503,0.0283976,-0.007596254,-0.084157,0.0125839,-0.01413703,-0.084596,,0.0878917
6,,-0.8193408,-0.01703721,-2.798569,-0.8103136,-0.01703721,-2.78659,-0.8092142,-0.01116419,-2.798645,17:01:33,LargeOverlap(Clone) (UnityEngine.GameObject),2.495821,1.308997,,-0.0693408,-0.01703721,0.051431,-0.0603136,-0.01703721,0.06341,-0.0592142,-0.01116419,0.051355,,0.087997505
129,,-0.8363485,-0.01703721,-2.851302,-0.8347806,-0.01703721,-2.836385,-0.8391382,-0.01154399,-2.83512,17:08:59,LargeOverlap(Clone) (UnityEngine.GameObject),3.036873,1.308997,,-0.0863485,-0.01703721,-0.001302,-0.0847806,-0.01703721,0.013615,-0.0891382,-0.01154399,0.01488,,0.088022867
12,,-0.6965457,-0.007596254,-2.919694,-0.6820989,-0.007596254,-2.908406,-0.4478805,-0.04734445,-3.1741,17:01:55,SmallOverlap(Clone) (UnityEngine.GameObject),5.375614,1.396263,,0.0534543,-0.007596254,-0.069694,0.0679011,-0.007596254,-0.058406,0.3021195,-0.04734445,-0.3241,,0.088160756
13,,-0.6953598,-0.007596254,-2.918867,-0.707017,-0.007596254,-2.928306,-0.5898249,0.09122133,-3.0251,17:01:59,LargeOverlap(Clone) (UnityEngine.GameObject),5.393067,1.396263,,0.0546402,-0.007596254,-0.068867,0.042983,-0.007596254,-0.078306,0.1601751,0.09122133,-0.1751,,0.08823785
141,,-0.6632949,-0.007596254,-2.865766,-0.6642544,-0.007596254,-2.884074,-0.6771895,0.003195763,-2.842021,17:09:38,SmallOverlap(Clone) (UnityEngine.GameObject),6.230825,1.396263,,0.0867051,-0.007596254,-0.015766,0.0857456,-0.007596254,-0.034074,0.0728105,0.003195763,0.007979,,0.088453627
57,,-0.8113939,-0.03015381,-2.793727,-0.8007873,-0.03015381,-2.78312,-0.8505598,0.1026392,-2.706474,17:04:54,LargeOverlap(Clone) (UnityEngine.GameObject),2.356194,1.22173,,-0.0613939,-0.03015381,0.056273,-0.0507873,-0.03015381,0.06688,-0.1005598,0.1026392,0.143526,,0.088572647
9,,-0.7907615,-0.01703721,-2.927706,-0.7745741,-0.01703721,-2.936313,-0.8735153,0.04862761,-3.135553,17:01:44,SmallOverlap(Clone) (UnityEngine.GameObject),4.223697,1.308997,,-0.0407615,-0.01703721,-0.077706,-0.0245741,-0.01703721,-0.086313,-0.1235153,0.04862761,-0.285553,,0.089386738
31,,-0.7753849,-0.007596254,-2.935937,-0.7929171,-0.007596254,-2.930577,-0.7733918,-0.004841089,-2.914236,17:03:11,SmallOverlap(Clone) (UnityEngine.GameObject),4.415683,1.396263,,-0.0253849,-0.007596254,-0.085937,-0.0429171,-0.007596254,-0.080577,-0.0233918,-0.004841089,-0.064236,,0.089929218
77,,-0.8338656,-0.01703721,-2.879007,-0.829552,-0.01703721,-2.895105,-0.8273123,-0.0294168,-2.859515,17:06:00,MediumOverlap(Clone) (UnityEngine.GameObject),3.403392,1.308997,,-0.0838656,-0.01703721,-0.029007,-0.079552,-0.01703721,-0.045105,-0.0773123,-0.0294168,-0.009515,,0.090361006
25,,-0.6806592,-0.03015381,-2.800061,-0.6696259,-0.03015381,-2.814703,-0.3739656,-0.2405889,-2.404144,17:02:43,SmallOverlap(Clone) (UnityEngine.GameObject),0.6457718,1.22173,,0.0693408,-0.03015381,0.049939,0.0803741,-0.03015381,0.035297,0.3760344,-0.2405889,0.445856,,0.090616238
54,,-0.8211222,-0.01703721,-2.904608,-0.8115625,-0.01703721,-2.91826,-0.8789194,0.1212106,-2.918318,17:04:36,MediumOverlap(Clone) (UnityEngine.GameObject),3.752458,1.308997,,-0.0711222,-0.01703721,-0.054608,-0.0615625,-0.01703721,-0.06826,-0.1289194,0.1212106,-0.068318,,0.09127249
146,,-0.8361769,-0.03015381,-2.851018,-0.8341458,-0.03015381,-2.834476,-0.8254964,-0.03343463,-2.825303,17:09:56,MediumOverlap(Clone) (UnityEngine.GameObject),3.01942,1.22173,,-0.0861769,-0.03015381,-0.001018,-0.0841458,-0.03015381,0.015524,-0.0754964,-0.03343463,0.024697,,0.091305787
47,,-0.7635823,-0.007596254,-2.939988,-0.748767,-0.007596254,-2.942334,-0.7685681,-0.0074687,-2.922422,17:04:12,LargeOverlap(Clone) (UnityEngine.GameObject),4.555309,1.396263,,-0.0135823,-0.007596254,-0.089988,0.001233,-0.007596254,-0.092334,-0.0185681,-0.0074687,-0.072422,,0.091323721
70,,-0.8259381,-0.01703721,-2.898135,-0.8332102,-0.01703721,-2.885015,-0.8308054,-0.01966,-2.868892,17:05:37,LargeOverlap(Clone) (UnityEngine.GameObject),3.647738,1.308997,,-0.0759381,-0.01703721,-0.048135,-0.0832102,-0.01703721,-0.035015,-0.0808054,-0.01966,-0.018892,,0.091508687
3,,-0.6834888,-0.03015381,-2.794754,-0.673847,-0.03015381,-2.806244,-0.6864144,-0.01637793,-2.791896,17:01:21,LargeOverlap(Clone) (UnityEngine.GameObject),0.6981317,1.22173,,0.0665112,-0.03015381,0.055246,0.076153,-0.03015381,0.043756,0.0635856,-0.01637793,0.058104,,0.09157026
14,,-0.6657549,-0.03015381,-2.830457,-0.6693838,-0.03015381,-2.815902,-0.6614779,-0.02199268,-2.834276,17:02:03,LargeOverlap(Clone) (UnityEngine.GameObject),0.2443461,1.22173,,0.0842451,-0.03015381,0.019543,0.0806162,-0.03015381,0.034098,0.0885221,-0.02199268,0.015724,,0.091588307
